"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"FN138","VACANT","SCS1","Head of Contract Management","Contract Management – comprehensive leadership and support to the management of major contracts, including a system to track performance and monitor the achievement of both business and supplier commitments","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-PICD-107","0","1.00","85000","89999","","Procurement","http://guidance.data.gov.uk/organogram-data.html","1"
"FN139","VACANT","SCS1","Head of Supplier Relationship Management","Supplier Relationship Management – deeply skilled and credible in the negotiation and maintenance of sustainable relationships with key suppliers to health, working closely with Government’s Crown Suppliers Programme as appropriate","Department of Health","Department of Health","Finance & NHS","N/A","N/D","FN-PICD-107","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2364","N/D","SCS1","Deputy Director - SRO NHS Mail","Informatics Deliverly Management - SRO NHS Mail","Department of Health","Department of Health","Innovation, Growth and Technology","020 7210 4850","N/D","IGT-2351","0","0.40","35000","39999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"FN149","N/D","SCS1","Deputy Director - NHS Provider Policy","Responsible for policy on NHS Trusts and NHS Foundation Trusts'","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-NHSG-031","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN142","N/D","SCS1","Deputy Director, Government Finance Academy","Deputy Director of the Government Finance Academy","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN141","0","1.00","85000","89999","","Finance","http://guidance.data.gov.uk/organogram-data.html","1"
"FN147","N/D","SCS1","Deputy Director Lord Carter Review","Deputy Director Programme Management","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-108","0","1.00","85000","89999","","Policy","Cost of reports added to FN-PICD-108 http://guidance.data.gov.uk/organogram-data.html","1"
"FN148","N/D","SCS1","Contract Management Function Implementation Lead","Contract Management Function Implementation Lead","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","0","1.00","85000","89999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2369","ELIMINATED","SCS1","Deputy Director, Cyber Security","Cyber Security Review Team Leader","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT-010","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2370","ELIMINATED","SCS1","Deputy Director, Cyber Security","Cyber Security","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT-010","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"IGT2371","ELIMINATED","SCS1","Accelerated Access Review Project member","Accelerated Access Review Project member","Department of Health","Department of Health","Innovation, Growth and Technology","N/A","N/D","IGT2368","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-064","Jonathan Marron","SCS2","Director, Community, Mental Health and 7 Day Services","Responsible for the delivery of this Government’s Manifesto commitments on seven day NHS services’","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-004","88087","1.00","110000","114999","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN150","Jin Sahota","SCS2","Directory of Supply Chain","Responsible for overseeing the supply chain, procurement and supplier relationship function across DH and the health family. This includes developing a Future Operating Model for the NHS Supply Chain, management of the Procurement Transformation Programme.

Establishing a Supplier Relationship Management (SRM) to manage the DH’s commercial relationships with its major strategic suppliers and those of the wider NHS, seeking longer term commercial value over short term gains.  
Leading on the National Supply Disruption Response - retained capability for response leadership and co-ordination of major supply disruption incidents impacting on medical devices and clinical consumables, as used in the NHS.
Sponsorship and accountability of the NHS Supply Chain Contract, and relationship with DHL.","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-033","0","1.00","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"FN151","N/D","SCS1","P&E Engagement Lead","Responsible for engagement with Trusts","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN-PICD-108","0","0.67","55000","59999","","Operational Delivery","http://guidance.data.gov.uk/organogram-data.html","1"
"FN152","Timothy Evans","SCS2","National Clinical Director for Hospital Productivity","DH National Lead for Hospital Productivity","Department of Health","Department of Health","Finance & NHS","020 7210 4850","N/D","FN140","0","0.60","0","0","","Medicine","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-042","Christopher Whitty","SCS3","Chief Scientific Adviser","Overall responsibility for the DH research and development budget which includes the National Institute of Health Research (NIHR), research policy and supporting evidenced based decision making capacity in the Department, member of the department’s senior leadership team and executive board'","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","CMO-002","0","0.80","0","0","","Policy","http://guidance.data.gov.uk/organogram-data.html","1"
"SER-063","N/D","SCS1","Deputy Director - 7 Day Services Programme","Strategic oversight and coordination of activities to deliver this Government’s Manifesto commitments on seven day NHS services.","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-064","0","0.70","60000","64999","","Policy","Cost of reports added to SER-064 http://guidance.data.gov.uk/organogram-data.html","1"
"SER-065","Norman Williams","SCS2","Senior Clinical Advisor","Senior Clinical Adviser to the Secretary of State for Health on patient safety issues.","Department of Health","Department of Health","Strategy and External Relations","020 7210 4850","N/D","SER-004","0","0.20","0","0","","Other","http://guidance.data.gov.uk/organogram-data.html","1"
"RDD-043","N/D","SCS1","Deputy Director Genomics, science and emerging technologies & Deputy Chief Scientific Adviser","Science advice & policy on Regenerative and stratified medicine as well as Horizon scanning related to emerging technology.","Department of Health","Department of Health","Research & Development Directorate","020 7210 4850","N/D","RDD-009","0","0.40","35000","39999","","Policy","Cost of reports added to RDD-009 http://guidance.data.gov.uk/organogram-data.html","1"
