"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"DWP178","Iain Walsh","SCS2","Labour Market & International Affairs Director","Responsibility for the development of strategies and policies to improve the employment outcomes of people claiming benefits, and to help people stay in and progress in work. These responsibilities cover employment interventions delivered directly by the Department, through contracted provision and in partnership with others.  The role is also responsible for the policy on non UK nationals’ access to benefits and for the UK’s engagement with various international bodies on employment issues.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","8365331","1.00","90000","94999","","Policy","","1"
"DWP279","N/D","SCS1","Automatic Enrolment Programme Director","Directing and steering the Automatic Enrolment Programme, including identifying and managing the key risks and mitigations within the programme’s delivery. Responsibility for NEST policy and stewardship, ensuring developments meet Ministerial and Departmental objectives. Leadership of the Better Workplace Pensions work programme including development, delivery and evaluation of a charge cap on pension schemes used for automatic enrolment, new governance arrangements for contract based pension schemes and the development with the FCA of new transparency measures for workplace pensions.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP192","0","0.66","75000","79999","","Policy","Job Share - Team is too small, costs have been reported under (DWP192)","1"
"DWP139","N/D","SCS1","Deputy Director for Disability Assessment and Deputy Chief Medical Adviser","Functions include Health and Benefits Policy, the Medical Adviser team, contributing to development of the Directorate’s overall strategy on Disability and Work and Deputising for the Chief Medical Adviser. This includes overall responsibility for development and maintenance of policy in relation to the health aspects of benefit entitlement assessments; for the overview of professional standards in relation to the provision of contracted-out medical services; and for technical support to the Industrial Injuries Advisory Council.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP169","0","1.00","85000","89999","","Policy","","1"
"DWP10","JAMES WOLFE","SCS2","Director Universal Credit Policy Division","The Universal Credit Product and Service Design team is responsible for defining the service to be provided to claimants and staff for Universal Credit and translates the policy intention into a design specification.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","5187774","1.00","85000","89999","","Policy","","1"
"DWP439","N/D","SCS1","Deputy Director Pension Wise","Pension Wise are responsible for helping people aged 50 and over with a defined contribution pension pot understand the options available to them.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP192","0","1.00","70000","74999","","Policy","","1"
"0","N/D","SCS2","Not in Post","N/A","Department for Work and Pensions","Department for Work and Pensions","N/A","N/A","N/A","DWP187","0","1.00","125000","129999","","Policy","","1"
"DWP187","Jonathan Mills","SCS3","Director General SPAG","Head of Strategy Policy Analysis Group","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP135","4668297","1.00","120000","124999","","Policy","","1"
"DWP396","N/D","SCS1","Deputy Director, Children, Families & Disadvantage","The Children, Families & Disadvantage Delivery Division leads on policy and strategy for transforming the life chances and improving employment outcomes of the most disadvantaged groups in society, those facing multiple barriers, and those socially excluded. The team works closely with many other government departments, and has close ties to the voluntary, community and social enterprise sector.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP171","0","1.00","70000","74999","","Policy","","1"
"DWP165","N/D","SCS1","Deputy Director Office for Disability Issues","Head of Office for Disability Issues","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","0","1.00","70000","74999","","Policy","","1"
"DWP397","N/D","SCS1","Deputy Director, Working Age Benefits Projects","Improving the quality of material provided to parlimanent in relation to secondary legislation; investigating policy opportunities for reducing fraud and error","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP169","0","1.00","70000","74999","","Policy","","1"
"DWP521","N/D","SCS1","Deputy Director, Long Term Strategy","Leading Long Term Strategy across SPAG","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP436","0","1.00","75000","79999","","Policy","","1"
"DWP398","N/D","SCS1","Head of Analysis & Insight","Deputy Director Lead Analysts for the Unit","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","0","0.73","70000","74999","","Policy","Job Share","1"
"DWP441","N/D","SCS1","Deputy Director Analysis Team Private Pensions","Deputy Director Lead for the Unit Analysts","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP192","0","1.00","75000","79999","","Policy","","1"
"DWP164","N/D","SCS1","Head of Central Analysis Division","Central Analytical Division (CAD) develops and evaluates analysis that is cross cutting across DWP and links to wider Government initiatives. CAD’s main responsibilities include: a) Co-ordinating the overall analysis of poverty across DWP; b) Horizon scanning, both within the Department and across Government; c) Improving the quality and policy impact of DWP evaluations; d) Planning and prioritising externally commissioned research and evaluations; e) Trialling co-ordination across DWP; f) Security Assurance for Research and Analysis (SARA); g) Quality-assuring the analysis presented in DWP Impact Assessments; h) Maintaining and developing the DWP Social Cost-Benefit Analysis Framework","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP152","0","1.00","65000","69999","","Policy","","1"
"DWP183","MARY PATTISON","SCS2","Ageing Society & State Pensions Director","The Directorate is responsible for State Pensions policy and legislation, supporting Ministers in their overall reform of the State Pensions system and developing and modelling options for reform of the State Pensions system in support of Ministerial objectives of equality and fairness and Older People & the Ageing Society Strategy Division.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","3570976","1.00","95000","99999","","Policy","","1"
"DWP366","N/D","SCS1","Deputy Director, ESA Future Delivery Planning","Supporting delivery of ESA by developing medium and long-term implementation and delivery plans.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP10","0","1.00","65000","69999","","Policy","","1"
"DWP188","N/D","SCS1","Deputy Director, Housing Policy","Responsible for providing policy advice to Ministers on Housing Benefit, Council Tax Benefit and Support for Mortgage Interest, and the housing element of Universal Credit and Pension Credit.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP169","0","1.00","65000","69999","","Policy","","1"
"DWP471","N/D","SCS1","Deputy Director, Housing Policy","The Housing Policy Division is responsible for providing advice to Ministers on housing policy and strategy. Main areas of work include:designing and implementing the housing reform measures of the June 2010 Budget and Spending Review; shaping the housing","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP178","0","1.00","65000","69999","","Policy","","1"
"DWP340","N/D","SCS1","Deputy Director, Health and Work","The Health and work Division support the Government’s objective to reduce the numbers of people who fall out of work and onto long term benefits due to ill health or a disability.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP169","30632332","1.00","65000","69999","","Policy","","1"
"DWP398","N/D","SCS1","Head of Analysis & Insight","Deputy Director Lead Analysts for the Unit","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","0","0.68","75000","79999","","Policy","Job Share","1"
"DWP517","N/D","SCS1","Deputy Director, Disability Employment Support Analysis","Disability Employment Support Analysis","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP10","0","1.00","75000","79999","","Policy","","1"
"DWP175","N/D","SCS1","Deputy Director, Labour Market Partnerships Division","Labour Market Partnerships Division leads on defining and shaping strategic partnerships to meet the needs of employers and localities and develop the skills of workless people to help more people back into employment. It does this by encouraging and facilitating the coherent delivery of services between DWP and other partners, whether they be in the public, private or voluntary and community sectors.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP178","0","1.00","65000","69999","","Policy","","1"
"DWP169","PETE SEARLE","SCS2","Working Age Benefits Director","My team leads the development and maintenance of policy for most of the main benefits for people of working age, including Universal Credit, Jobseeker's Allowance, Employment and Support Allowance and Housing Benefit.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","7203541","1.00","100000","104999","","Policy","","1"
"DWP399","N/D","SCS1","Deputy Director Labour Market","The Labour Market Division covers cross-cutting policy areas to boost employment outcomes and the policy design (including localism) of the new Work & Health Programme","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP178","0","1.00","65000","69999","","Policy","","1"
"DWP176","N/D","SCS1","Deputy Director Private Pensions Policy","Responsible for the policy, legislation and regulation that underpins the private pension system in the UK.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP192","0","1.00","65000","69999","","Policy","","1"
"DWP436","Stefan Czerniawski","SCS2","Director of Design","Responsible for developing the future direction for DWP, and the welfare system, to support successful outcomes through efficient customer focused delivery.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","5103298","1.00","90000","94999","","Other","","1"
"DWP191","N/D","SCS1","Pensions Lead Analyst","Accountable for the evidence base on which Ministers will make decisions on state pensions, private pensions regulation, supporting people to work in to later life and the challenges of an ageing society. In addition work on pensioner poverty measurement and options to alleviate are also carried out in this area as well as evaluation of autoenrollment whereby everyone in work has access to an occupational pension.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP400","0","1.00","70000","74999","","Policy","","1"
"DWP467","N/D","SCS1","Deputy Director, Labour Market Analysis","Labour Market Analysis Division","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP178","0","1.00","70000","74999","","Policy","","1"
"DWP154","N/D","SCS1","Head of Model Development","Measurement of fraud and error in the benefits system (under and over-payments) and publication of related National Statistics; Compilation of National and other official statistics relating to benefits and claimants and related analyses in support of policy development; Measurement of incomes and poverty, including child, working-age and pensioner poverty and income inequality through the Family Resources Survey; Departmental lead for the Wealth and Assets Survey, the English Longitudinal Study of Ageing, the Life Opportunities Survey, and related analyses. Deputy Head of Profession for statistics: upholding professional standards including the Code of Practice for Official Statistics.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP152","0","1.00","70000","74999","","Policy","","1"
"DWP152","TREVOR HUDDLESTON","SCS2","Chief Analyst","This post is responsible for the co-ordination, delivery and quality assurance of all analysis across DWP. Analytical teams: (a) contribute to the process of evidence based policy development and delivery design; (b) help to monitor and evaluate the impacts of Departmental policies; (c) provide analytical information to support the Parliamentary and legislative process; (d) provide forecasts of benefit expenditure to support HMT's sound planning of the Government finances.","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","2351359","1.00","100000","104999","","Policy","","1"
"DWP520","N/D","SCS1","Deputy Director, Disability Employment Support","Disability Employment & Support","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP10","0","1.00","65000","69999","","Policy","","1"
"DWP400","N/D","SCS1","Expert Adviser to the Minister for Employment","Provides expert advice to the Minister for Employment with a particular focus on employment programmes","Department for Work and Pensions","Department for Work and Pensions","Strategy, Policy and Analysis Group","020 7449 5517","strategy@dwp.gsi.gov.uk","DWP187","0","1.00","70000","74999","","Policy","","1"
"DWP42","N/D","SCS1","Head of Fraud & Error Service","Fraud Investigation Service investigates potential fraudulent attacks against all benefits owned by DWP or administered on behalf of DWP. It works in partnership with Local Authorities, other Government Departments, including HMRC, the Police and other relevant bodies. It also conducts financial investigations, referred by a criminal investigator or in accordance with directives from the courts with a view to recovering money illegally obtained through criminal activity.","Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP350","106196068","1.00","80000","84999","","Operational Delivery","","1"
"DWP524","N/D","SCS1","Transition Director","Leadership of the child maintenance teams responsible for the off-system cases, including Partial Clerical cases, the Serco contract and Escalated Complaints. Introduction and leadership of the case closure operational process. Responsibility for the G4S Options contract which provides a service to people who need help and support to arrange child maintenance. Leadership of People issues within Child Maintenance Operations","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP350","22949379","1.00","90000","94999","","Operational Delivery","Job Share","1"
"DWP322","N/D","SCS1","Head of Fraud, Error & Debt Strategy & Policy","Leading the Fraud, Error and Debt Strategy and Policy team for DWP, managing a team of 45. • Developing a departmental strategy for tackling fraud and error, underpinned by strategies targeting individual benefits and across the main causes of loss. • Developing the strategy for increasing debt recovery within DWP. • Identifying specific initiatives for implementing agreed strategies. • Working across government to support cross-departmental initiatives and support the development of a coherent cross-government narrative. • Developing and maintaining fraud, error and debt primary and secondary legislation. • Developing and maintaining fraud, error and debt policy. • Overseeing the briefing function for fraud and error across DWP (general briefing, National Statistics, Parliamentary business etc.), including responding to Parliamentary Questions and Freedom of Information requests.","Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP350","742677","1.00","75000","79999","","Operational Delivery","Job Share","1"
"DWP465","N/D","SCS1","Lead Analyst for Fraud, Error and Debt","Responsible for the development of the evidence base and analysis which underpins decisions relating to fraud, error and debt in DWP. The analysis team supports Strategy and Policy, Operations (FES and Debt Management) and Change teams across fraud, error and debt, with the Lead Analyst having delegated responsibility from the DWP Chief Analyst around quality and assurance of all analysis in this area.  The Lead Analyst also acts as Head of Profession for Operational Research Analysts across DWP, as part of the wider Government Operational Research Service","Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP350","1708307","1.00","75000","79999","","Statisticians","","1"
"DWP322","N/D","SCS1","Head of Fraud, Error & Debt Strategy & Policy","Leading the Fraud, Error and Debt Strategy and Policy team for DWP, managing a team of 45. • Developing a departmental strategy for tackling fraud and error, underpinned by strategies targeting individual benefits and across the main causes of loss. • Developing the strategy for increasing debt recovery within DWP. • Identifying specific initiatives for implementing agreed strategies. • Working across government to support cross-departmental initiatives and support the development of a coherent cross-government narrative. • Developing and maintaining fraud, error and debt primary and secondary legislation. • Developing and maintaining fraud, error and debt policy. • Overseeing the briefing function for fraud and error across DWP (general briefing, National Statistics, Parliamentary business etc.), including responding to Parliamentary Questions and Freedom of Information requests.","Department for Work and Pensions","Department for Work and Pensions","Operations - Counter Fraud","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP350","742677","1.00","90000","94999","","Operational Delivery","Job Share","1"
"DWP518","N/D","SCS1","Deputy Director, Disability Service","DSDRD deliver disability benefits, dispute resolution services to customers across the UK, including Personal Independence Payment (PIP), Disability Living Allowance (DLA) and Industrial Injuries Disablement Benefit (IIDB)","Department for Work and Pensions","Department for Work and Pensions","Operations - Disability Service","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP249","80185110","1.00","0","0","","Operational Delivery","","1"
"DWP459","N/D","SCS1","Deputy Director Disputes Resolution","DSDRD deliver disability benefits, dispute resolution services to customers across the UK, including Personal Independence Payment (PIP), Disability Living Allowance (DLA) and Industrial Injuries Disablement Benefit (IIDB)","Department for Work and Pensions","Department for Work and Pensions","Operations - Disability Service","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP249","57761471","1.00","0","0","","Operational Delivery","","1"
"DWP466","N/D","SCS1","Head of Change and Implementation","Change and Implementation delivers change across Operations and is structured to support the OSN Customer base and national cross-cutting issues efficiently and effectively.","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","27231948","1.00","65000","69999","","Operational Delivery","","1"
"DWP312","N/D","SCS1","Head of Service Design and Development","The Head of Service Design and Management is responsible for managing all ‘live’ products and services delivered by DWP Operations. The post holder must ensure that operational outcomes are delivered for customers within the stated Policy intent and budgetary constraints. The job holder provides the interface into Strategy and Policy for each of the live services and also works with Change teams where new products or services are being developed to ensure effective operational input.","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","4521915","1.00","65000","69999","","Operational Delivery","","1"
"DWP23","N/D","SCS1","Head of Digital & Online Services for DWP Operations","Responsible for the live running of Digital Services within DWP Operations, and delivering activities that will transform DWP from a telephony and face to face business to one where online channels become the contact method of choice for our customers, where appropriate. We achieve this by driving the continuous improvement of the services and ensuring that customers and claimants are aware of the digital services we provide.","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","1599923","0.65","75000","79999","","Operational Delivery","","1"
"DWP452","N/D","SCS1","Head of Service Design & Management - Working Age & Disability","The Head of Service Design and Management is responsible for managing all ‘live’ products and services delivered by DWP Operations. The post holder must ensure that operational outcomes are delivered for customers within the stated Policy intent and budgetary constraints. The job holder provides the interface into Strategy and Policy for each of the live services and also works with Change teams where new products or services are being developed to ensure effective operational input.","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","2970765","1.00","65000","69999","","Operational Delivery","","1"
"DWP468","N/D","SCS1","Head of Operational Transformation","Responsible for transforming operations in DWP to deliver effective solutions for our customers – not only now, but also to 2020 and beyond","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","3973379","1.00","70000","74999","","Operational Delivery","","1"
"DWP36","N/D","SCS1","Head of Central Operations","The team is responsible for delivery of National Insurance number provision delivering a robust and secure NiNO to domestic and foreign applicants. We also manage the Operational complaints, correspondence and feedback functions which includes: responding to MP queries, answering customer letters, undertaking peer and serious case reviews, responding to Parliamentary questions and Freedom of Information requests. Our failure demand and client assurance teams undertake quality checks on our delivery to ensure compliance with processes and assurance of quality service to customers.","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","15895401","1.00","65000","69999","","Operational Delivery","","1"
"DWP453","N/D","SCS1","Head of Service Design & Management - non-Working Age","The Head of Service Design and Management is responsible for managing all ‘live’ products and services delivered by DWP Operations. The post holder must ensure that operational outcomes are delivered for customers within the stated Policy intent and budgetary constraints. The job holder provides the interface into Strategy and Policy for each of the live services and also works with Change teams where new products or services are being developed to ensure effective operational input.","Department for Work and Pensions","Department for Work and Pensions","Operations - Operational Excellence","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP60","4486397","1.00","0","0","","Operational Delivery","","1"
"DWP232","N/D","SCS1","Central Services Director, CMG","The Client Services Director is responsible for: - Assessing and making payment arrangements for new and repeat child maintenance applications. - Updating child maintenance cases by processing changes of circumstances to ensure that the correct amount of child maintenance is paid. - The provision of telephony, face to face visiting and Welsh language services. - Responding to complaints received from clients or MPs, ensuring that the reason for the complaint is addressed and appropriate action taken to resolve the issues.","Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP231","0","1.00","80000","84999","","Operational Delivery","Team is too small, costs have been reported under (DWP241)","1"
"DWP241","N/D","SCS1","CMG Central Operations Director","The area provides performance analysis, resource and organisational planning and change implementation activities for the whole of the Child maintenance group within DWP.","Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP231","5575157","1.00","85000","89999","","Operational Delivery","","1"
"DWP204","N/D","SCS1","Change Delivery Director","Responsible for the Change Directorate within Child Maintenance Group which includes Project Delivery and Business Architecture and Design functions.","Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP231","36628474","1.00","65000","69999","","Operational Delivery","","1"
"DWP26","N/D","SCS1","Child Maintenance Group 2012 Scheme Director","Currently responsible for operational delivery and Implementation of new scheme through a national network of 1700 staff.","Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP231","46748977","1.00","70000","74999","","Operational Delivery","","1"
"DWP231","TOM MCCORMACK","SCS2","CMG Director","Tom leads the Child Maintenance Group – including the operational delivery of 3 separate Child Maintenance Scheme to around 3M clients (2 schemes end in 2019).  Tom also leads delivery of the CMG Change Programme – delivering the new 2012 Child Maintenance Service and the CSA Case Closure Programme, ensuring smooth transition to 2012 scheme.  Tom leads over 10,000 colleagues spread across 32 sites. The main focus of the Group is to promote family based arrangement between separated families, and helping to secure children’s futures, ensuring support and information are provided about different child maintenance options available. Work is on-going to close down the old child maintenance statutory schemes.","Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","0","1.00","100000","104999","","Operational Delivery","","1"
"DWP306","N/D","SCS1","CSA Director","Responsible for Case Closures","Department for Work and Pensions","Department for Work and Pensions","Operations - Child Maintenance","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP350","25867147","1.00","0","0","","Operational Delivery","Job Share","1"
"DWP202","Andrew Rhodes","SCS3","Director General, DWP Operations","Responsible for the development and provision of DWP’s services to the public.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP135","387095","1.00","145000","149999","","Operational Delivery","","1"
"DWP2","N/D","SCS1","Head of Working Age Benefit Services Delivery","Overall responsibility for the National network of Benefit Delivery Centres, Contact Centres and Labour Market Decision Making, overseeing transformation of Welfare Delivery over the next few years.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP317","2976327","1.00","75000","79999","","Operational Delivery","","1"
"DWP379","Emma Haddad","SCS2","Head of Planning and Capability","Workforce Planning for all BSD Products; Live Running of Telephony Services; Development and roll out of Service Centres; Management of External Telephony Contracts; Leadership Development and Communications in BSD; 185 staff based geographically across the Network","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","649984","1.00","90000","94999","","Operational Delivery","","1"
"DWP14","GRAEME WALLACE","SCS2","Pensions Director","Responsible for the payment of State Pension, Attendance Allowance and Carers Allowance. Pay out","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","119721580","1.00","95000","99999","","Operational Delivery","","1"
"DWP240","N/D","SCS1","Head, Change and Implementation","Change and Implementation is structured to support the OSN Customer base and national cross-cutting issues efficiently and effectively. The Change Portfolio Management Office, sitting within Change and Implementation, is a key element of the team and the OED community. Their role is to act as the information, advice, management, management information and governance hub for all business generated change (read operational) and non-programme change.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP14","1357397","0.77","70000","74999","","Operational Delivery","","1"
"DWP503","John-Paul Marks","SCS2","Area Director South of England","The UC Area Director is accountable for Southern England for the preparation, expansion and successful delivery of UC in Job Centres and Service Centres. Additionally, the UC Area Directors, as members of a UC Operational Executive Team, will have collective responsibility for  successful national delivery, working with the UC Operations Director and the UC Programme in the future design and expansion of services.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP448","201507","1.00","95000","99999","","Operational Delivery","","1"
"DWP343","KAREN GOSDEN","SCS2","Area Director Central England and Wales","Govern estates demand across the Department and agree and implement DWP's location strategy, optimising alignment between 
the strategic workforce plan, affordability and organisation design to enable a future workforce of the right size, in the right locations
to better meet future business needs.  Additionally as UC Area Director accountable in Central England and Wales for the preparation, expansion and successful delivery of UC in Job Centres and Service Centres. Additionally, the UC Area Directors, as members of a UC Operational Executive Team, will have collective responsibility for  successful national delivery, working with the UC Operations Director and the UC Programme in the future design and expansion of services. 
Identify those buildings we want to retain / divest from 1 April 2018 or to acquire by 1 April 2018, making most cost effective
use of public estate, significantly reducing the unit costs per FTE and per sqm;
Meet the expiry requirements and exit from the current contract and enable a managed transition to new commercial arrangements","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP448","0","1.00","90000","94999","","Operational Delivery","","1"
"DWP348","Karl Khan","SCS2","Head of Performance Insight and Operations Planning","This role covers five key areas, specifically to: (1) work across Operations to provide assurance that the right key performance metrics are available, appropriate and yet stretching; and that performance indicators inform performance discussions and forward planning and so drive improvement; (2) provide a single point of contact within Operations for on-going requirements of management information to support the changing operational landscape; (3) develop a thorough understanding of the management information available and, identify performance ‘hotspots’ and efficiency opportunities; (4) provide assurance that the plans in place will deliver operations performance objectives and whether any specific risks require further mitigation. (5) develop resource deployment proposals that enable adequate resourcing down to product level, recommending and agreeing redeployment and recruitment into Operations","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","3139274","1.00","90000","94999","","Operational Delivery","","1"
"DWP293","N/D","SCS1","Labour Market Operations Director","Transitional role to support the creation of the Work Services Directorate, recognising the increasing effort required to support our biggest programmes such as Universal Credit.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP448","0","0.59","70000","74999","","Operational Delivery","","1"
"DWP350","RICHARD CORNISH","SCS2","Devolution Director – SRO for Scottish Devolution Programme and Strategy Director for Devolution","Responsible for overseeing implementation of devolution of new powers to Scotland from the Smith Commission and wider policy and strategy advice on devolution across the UK.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","0","1.00","90000","94999","","Operational Delivery","Team is too small, costs have been reported under (DWP14)","1"
"DWP249","RICHARD WEST","SCS2","Director, Disability Services and Dispute Resolution","Responsible for the delivery of Disability benefits including PIP, DLA, IIDB and dispute resolution services for Disability and Working Age benefits.","Department for Work and Pensions","Department for Work and Pensions","Operations - Support","020 7449 7720","correspondence@dwp.gsi.gov.uk","DWP202","3661753","1.00","90000","94999","","Operational Delivery","","1"
